Number,cset,alt,Choice,CL,SS,SOS,COST,SQ,Block,Q6K1,Q6K2,Q6K3,Q6K4,Q7FMRB,Q9Ct,Q9LY,Q9F,Q9AT,Q9R,Q9VB,Q9MH,Q9PP,Q10TF,Q10CH,Q10SG,Q10T,Q10AT,Q10CP
5,1,2,0,10,1,1,90,0,2,1,0,0,0,1,7,1,6,5,2,8,3,4,2,5,1,6,3,4
5,1,3,1,0,0,0,0,1,2,1,0,0,0,1,7,1,6,5,2,8,3,4,2,5,1,6,3,4
5,2,1,1,5,1,1,530,0,2,1,0,0,0,1,7,1,6,5,2,8,3,4,2,5,1,6,3,4
5,2,2,0,10,-1,-1,890,0,2,1,0,0,0,1,7,1,6,5,2,8,3,4,2,5,1,6,3,4
5,2,3,0,0,0,0,0,1,2,1,0,0,0,1,7,1,6,5,2,8,3,4,2,5,1,6,3,4
5,3,1,0,10,-1,-1,270,0,2,1,0,0,0,1,7,1,6,5,2,8,3,4,2,5,1,6,3,4
5,3,2,0,5,1,1,530,0,2,1,0,0,0,1,7,1,6,5,2,8,3,4,2,5,1,6,3,4
5,3,3,1,0,0,0,0,1,2,1,0,0,0,1,7,1,6,5,2,8,3,4,2,5,1,6,3,4
5,4,1,0,10,1,1,90,0,2,1,0,0,0,1,7,1,6,5,2,8,3,4,2,5,1,6,3,4
5,4,2,0,5,-1,-1,270,0,2,1,0,0,0,1,7,1,6,5,2,8,3,4,2,5,1,6,3,4
5,4,3,1,0,0,0,0,1,2,1,0,0,0,1,7,1,6,5,2,8,3,4,2,5,1,6,3,4
6,1,1,1,5,-1,-1,890,0,2,1,0,0,0,1,5,6,7,1,8,2,3,4,4,5,6,3,2,1
6,1,2,0,10,1,1,90,0,2,1,0,0,0,1,5,6,7,1,8,2,3,4,4,5,6,3,2,1
6,1,3,0,0,0,0,0,1,2,1,0,0,0,1,5,6,7,1,8,2,3,4,4,5,6,3,2,1
6,2,1,0,5,1,1,530,0,2,1,0,0,0,1,5,6,7,1,8,2,3,4,4,5,6,3,2,1
6,2,2,1,10,-1,-1,890,0,2,1,0,0,0,1,5,6,7,1,8,2,3,4,4,5,6,3,2,1
6,2,3,0,0,0,0,0,1,2,1,0,0,0,1,5,6,7,1,8,2,3,4,4,5,6,3,2,1
6,3,1,1,10,-1,-1,270,0,2,1,0,0,0,1,5,6,7,1,8,2,3,4,4,5,6,3,2,1
6,3,2,0,5,1,1,530,0,2,1,0,0,0,1,5,6,7,1,8,2,3,4,4,5,6,3,2,1
6,3,3,0,0,0,0,0,1,2,1,0,0,0,1,5,6,7,1,8,2,3,4,4,5,6,3,2,1
6,4,1,0,10,1,1,90,0,2,1,0,0,0,1,5,6,7,1,8,2,3,4,4,5,6,3,2,1
6,4,2,1,5,-1,-1,270,0,2,1,0,0,0,1,5,6,7,1,8,2,3,4,4,5,6,3,2,1
6,4,3,0,0,0,0,0,1,2,1,0,0,0,1,5,6,7,1,8,2,3,4,4,5,6,3,2,1
7,1,1,1,5,-1,-1,890,0,2,-999,-999,-999,-999,1,7,6,3,2,1,8,4,5,1,2,3,4,5,6
7,1,2,0,10,1,1,90,0,2,-999,-999,-999,-999,1,7,6,3,2,1,8,4,5,1,2,3,4,5,6
7,1,3,0,0,0,0,0,1,2,-999,-999,-999,-999,1,7,6,3,2,1,8,4,5,1,2,3,4,5,6
7,2,1,1,5,1,1,530,0,2,-999,-999,-999,-999,1,7,6,3,2,1,8,4,5,1,2,3,4,5,6
7,2,2,0,10,-1,-1,890,0,2,-999,-999,-999,-999,1,7,6,3,2,1,8,4,5,1,2,3,4,5,6
7,2,3,0,0,0,0,0,1,2,-999,-999,-999,-999,1,7,6,3,2,1,8,4,5,1,2,3,4,5,6
7,3,1,0,10,-1,-1,270,0,2,-999,-999,-999,-999,1,7,6,3,2,1,8,4,5,1,2,3,4,5,6
7,3,2,1,5,1,1,530,0,2,-999,-999,-999,-999,1,7,6,3,2,1,8,4,5,1,2,3,4,5,6
7,3,3,0,0,0,0,0,1,2,-999,-999,-999,-999,1,7,6,3,2,1,8,4,5,1,2,3,4,5,6
7,4,1,0,10,1,1,90,0,2,-999,-999,-999,-999,1,7,6,3,2,1,8,4,5,1,2,3,4,5,6
7,4,2,1,5,-1,-1,270,0,2,-999,-999,-999,-999,1,7,6,3,2,1,8,4,5,1,2,3,4,5,6
7,4,3,0,0,0,0,0,1,2,-999,-999,-999,-999,1,7,6,3,2,1,8,4,5,1,2,3,4,5,6
8,1,1,1,10,1,1,270,0,4,1,0,0,0,1,8,1,2,3,4,6,5,7,2,4,3,5,6,1
8,1,2,0,5,-1,-1,530,0,4,1,0,0,0,1,8,1,2,3,4,6,5,7,2,4,3,5,6,1
8,1,3,0,0,0,0,0,1,4,1,0,0,0,1,8,1,2,3,4,6,5,7,2,4,3,5,6,1
8,2,1,0,10,-1,1,890,0,4,1,0,0,0,1,8,1,2,3,4,6,5,7,2,4,3,5,6,1
8,2,2,1,5,1,-1,90,0,4,1,0,0,0,1,8,1,2,3,4,6,5,7,2,4,3,5,6,1
8,2,3,0,0,0,0,0,1,4,1,0,0,0,1,8,1,2,3,4,6,5,7,2,4,3,5,6,1
8,3,1,1,5,1,-1,90,0,4,1,0,0,0,1,8,1,2,3,4,6,5,7,2,4,3,5,6,1
8,3,2,0,10,-1,1,270,0,4,1,0,0,0,1,8,1,2,3,4,6,5,7,2,4,3,5,6,1
8,3,3,0,0,0,0,0,1,4,1,0,0,0,1,8,1,2,3,4,6,5,7,2,4,3,5,6,1
8,4,1,0,5,-1,-1,530,0,4,1,0,0,0,1,8,1,2,3,4,6,5,7,2,4,3,5,6,1
8,4,2,1,10,1,1,890,0,4,1,0,0,0,1,8,1,2,3,4,6,5,7,2,4,3,5,6,1
8,4,3,0,0,0,0,0,1,4,1,0,0,0,1,8,1,2,3,4,6,5,7,2,4,3,5,6,1
9,1,1,0,10,1,1,270,0,4,1,0,0,0,,1,7,4,8,6,2,5,2,6,2,5,1,3,4
9,1,2,1,5,-1,-1,530,0,4,1,0,0,0,,1,7,4,8,6,2,5,2,6,2,5,1,3,4
9,1,3,0,0,0,0,0,1,4,1,0,0,0,,1,7,4,8,6,2,5,2,6,2,5,1,3,4
9,2,1,1,10,-1,1,890,0,4,1,0,0,0,,1,7,4,8,6,2,5,2,6,2,5,1,3,4
9,2,2,0,5,1,-1,90,0,4,1,0,0,0,,1,7,4,8,6,2,5,2,6,2,5,1,3,4
9,2,3,0,0,0,0,0,1,4,1,0,0,0,,1,7,4,8,6,2,5,2,6,2,5,1,3,4
9,3,1,0,5,1,-1,90,0,4,1,0,0,0,,1,7,4,8,6,2,5,2,6,2,5,1,3,4
9,3,2,0,10,-1,1,270,0,4,1,0,0,0,,1,7,4,8,6,2,5,2,6,2,5,1,3,4
9,3,3,1,0,0,0,0,1,4,1,0,0,0,,1,7,4,8,6,2,5,2,6,2,5,1,3,4
9,4,1,0,5,-1,-1,530,0,4,1,0,0,0,,1,7,4,8,6,2,5,2,6,2,5,1,3,4
9,4,2,0,10,1,1,890,0,4,1,0,0,0,,1,7,4,8,6,2,5,2,6,2,5,1,3,4
9,4,3,1,0,0,0,0,1,4,1,0,0,0,,1,7,4,8,6,2,5,2,6,2,5,1,3,4
10,1,1,1,5,1,-1,270,0,3,1,0,1,0,1,7,1,8,3,2,4,5,6,2,6,1,3,4,5
10,1,2,0,10,-1,1,530,0,3,1,0,1,0,1,7,1,8,3,2,4,5,6,2,6,1,3,4,5
10,1,3,0,0,0,0,0,1,3,1,0,1,0,1,7,1,8,3,2,4,5,6,2,6,1,3,4,5
10,2,1,0,10,-1,-1,90,0,3,1,0,1,0,1,7,1,8,3,2,4,5,6,2,6,1,3,4,5
10,2,2,1,5,1,1,270,0,3,1,0,1,0,1,7,1,8,3,2,4,5,6,2,6,1,3,4,5
10,2,3,0,0,0,0,0,1,3,1,0,1,0,1,7,1,8,3,2,4,5,6,2,6,1,3,4,5
10,3,1,1,5,1,1,890,0,3,1,0,1,0,1,7,1,8,3,2,4,5,6,2,6,1,3,4,5
10,3,2,0,10,-1,-1,90,0,3,1,0,1,0,1,7,1,8,3,2,4,5,6,2,6,1,3,4,5
10,3,3,0,0,0,0,0,1,3,1,0,1,0,1,7,1,8,3,2,4,5,6,2,6,1,3,4,5
10,4,1,0,10,-1,1,530,0,3,1,0,1,0,1,7,1,8,3,2,4,5,6,2,6,1,3,4,5
10,4,2,1,5,1,-1,890,0,3,1,0,1,0,1,7,1,8,3,2,4,5,6,2,6,1,3,4,5
10,4,3,0,0,0,0,0,1,3,1,0,1,0,1,7,1,8,3,2,4,5,6,2,6,1,3,4,5
11,1,1,1,5,1,-1,270,0,3,1,1,0,0,1,7,2,6,5,4,8,1,3,3,6,5,2,4,1
11,1,2,0,10,-1,1,530,0,3,1,1,0,0,1,7,2,6,5,4,8,1,3,3,6,5,2,4,1
11,1,3,0,0,0,0,0,1,3,1,1,0,0,1,7,2,6,5,4,8,1,3,3,6,5,2,4,1
11,2,1,0,10,-1,-1,90,0,3,1,1,0,0,1,7,2,6,5,4,8,1,3,3,6,5,2,4,1
11,2,2,0,5,1,1,270,0,3,1,1,0,0,1,7,2,6,5,4,8,1,3,3,6,5,2,4,1
11,2,3,1,0,0,0,0,1,3,1,1,0,0,1,7,2,6,5,4,8,1,3,3,6,5,2,4,1
11,3,1,0,5,1,1,890,0,3,1,1,0,0,1,7,2,6,5,4,8,1,3,3,6,5,2,4,1
11,3,2,0,10,-1,-1,90,0,3,1,1,0,0,1,7,2,6,5,4,8,1,3,3,6,5,2,4,1
11,3,3,1,0,0,0,0,1,3,1,1,0,0,1,7,2,6,5,4,8,1,3,3,6,5,2,4,1
11,4,1,0,10,-1,1,530,0,3,1,1,0,0,1,7,2,6,5,4,8,1,3,3,6,5,2,4,1
11,4,2,1,5,1,-1,890,0,3,1,1,0,0,1,7,2,6,5,4,8,1,3,3,6,5,2,4,1
11,4,3,0,0,0,0,0,1,3,1,1,0,0,1,7,2,6,5,4,8,1,3,3,6,5,2,4,1
12,1,1,1,10,1,1,270,0,4,1,0,0,0,1,8,1,7,5,3,6,4,2,5,6,2,3,4,1
12,1,2,0,5,-1,-1,530,0,4,1,0,0,0,1,8,1,7,5,3,6,4,2,5,6,2,3,4,1
12,1,3,0,0,0,0,0,1,4,1,0,0,0,1,8,1,7,5,3,6,4,2,5,6,2,3,4,1
12,2,1,0,10,-1,1,890,0,4,1,0,0,0,1,8,1,7,5,3,6,4,2,5,6,2,3,4,1
12,2,2,1,5,1,-1,90,0,4,1,0,0,0,1,8,1,7,5,3,6,4,2,5,6,2,3,4,1
12,2,3,0,0,0,0,0,1,4,1,0,0,0,1,8,1,7,5,3,6,4,2,5,6,2,3,4,1
12,3,1,1,5,1,-1,90,0,4,1,0,0,0,1,8,1,7,5,3,6,4,2,5,6,2,3,4,1
12,3,2,0,10,-1,1,270,0,4,1,0,0,0,1,8,1,7,5,3,6,4,2,5,6,2,3,4,1
12,3,3,0,0,0,0,0,1,4,1,0,0,0,1,8,1,7,5,3,6,4,2,5,6,2,3,4,1
12,4,1,0,5,-1,-1,530,0,4,1,0,0,0,1,8,1,7,5,3,6,4,2,5,6,2,3,4,1
12,4,2,1,10,1,1,890,0,4,1,0,0,0,1,8,1,7,5,3,6,4,2,5,6,2,3,4,1
12,4,3,0,0,0,0,0,1,4,1,0,0,0,1,8,1,7,5,3,6,4,2,5,6,2,3,4,1
13,1,1,0,5,-1,1,90,0,1,0,0,1,0,1,1,2,6,4,5,8,7,3,1,4,5,3,2,6
13,1,2,1,10,1,-1,530,0,1,0,0,1,0,1,1,2,6,4,5,8,7,3,1,4,5,3,2,6
13,1,3,0,0,0,0,0,1,1,0,0,1,0,1,1,2,6,4,5,8,7,3,1,4,5,3,2,6
13,2,1,1,10,1,-1,530,0,1,0,0,1,0,1,1,2,6,4,5,8,7,3,1,4,5,3,2,6
13,2,2,0,5,-1,1,890,0,1,0,0,1,0,1,1,2,6,4,5,8,7,3,1,4,5,3,2,6
13,2,3,0,0,0,0,0,1,1,0,0,1,0,1,1,2,6,4,5,8,7,3,1,4,5,3,2,6
13,3,1,0,5,-1,1,270,0,1,0,0,1,0,1,1,2,6,4,5,8,7,3,1,4,5,3,2,6
13,3,2,1,10,1,-1,530,0,1,0,0,1,0,1,1,2,6,4,5,8,7,3,1,4,5,3,2,6
13,3,3,0,0,0,0,0,1,1,0,0,1,0,1,1,2,6,4,5,8,7,3,1,4,5,3,2,6
13,4,1,1,10,1,-1,270,0,1,0,0,1,0,1,1,2,6,4,5,8,7,3,1,4,5,3,2,6
13,4,2,0,5,-1,1,90,0,1,0,0,1,0,1,1,2,6,4,5,8,7,3,1,4,5,3,2,6
13,4,3,0,0,0,0,0,1,1,0,0,1,0,1,1,2,6,4,5,8,7,3,1,4,5,3,2,6
