Number,cset,alt,Choice,CL,SS,SOS,COST,SQ,Block,Q6K1,Q6K2,Q6K3,Q6K4,Q7FMRB,Q9Ct,Q9LY,Q9F,Q9AT,Q9R,Q9VB,Q9MH,Q9PP,Q10TF,Q10CH,Q10SG,Q10T,Q10AT,Q10CP,Benefit1,Benefit2,Benefit3,Gender1,Tin1,Tin2,FRB,size1,size2,AMED,Quant1,Quant2,Quant3,Quant4,Age1,Age2,Age3,Edu1,Edu2,Edu3,Q5M1,Q5M2,Q5M3,Q5M4,Q5M5,Q5M6,Q5M7,Q5M8
7,3,1,0,10,-1,-1,270,0,2,-999,-999,-999,-999,1,7,6,3,2,1,8,4,5,1,2,3,4,5,6,1,0,0,1,1,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0
7,3,2,1,5,1,1,530,0,2,-999,-999,-999,-999,1,7,6,3,2,1,8,4,5,1,2,3,4,5,6,1,0,0,1,1,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0
7,3,3,0,0,0,0,0,1,2,-999,-999,-999,-999,1,7,6,3,2,1,8,4,5,1,2,3,4,5,6,1,0,0,1,1,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0
7,4,1,0,10,1,1,90,0,2,-999,-999,-999,-999,1,7,6,3,2,1,8,4,5,1,2,3,4,5,6,1,0,0,1,1,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0
7,4,2,1,5,-1,-1,270,0,2,-999,-999,-999,-999,1,7,6,3,2,1,8,4,5,1,2,3,4,5,6,1,0,0,1,1,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0
7,4,3,0,0,0,0,0,1,2,-999,-999,-999,-999,1,7,6,3,2,1,8,4,5,1,2,3,4,5,6,1,0,0,1,1,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0
8,1,1,1,10,1,1,270,0,4,1,0,0,0,1,8,1,2,3,4,6,5,7,2,4,3,5,6,1,0,0,0,1,1,0,1,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,0
8,1,2,0,5,-1,-1,530,0,4,1,0,0,0,1,8,1,2,3,4,6,5,7,2,4,3,5,6,1,0,0,0,1,1,0,1,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,0
8,1,3,0,0,0,0,0,1,4,1,0,0,0,1,8,1,2,3,4,6,5,7,2,4,3,5,6,1,0,0,0,1,1,0,1,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,0
8,2,1,0,10,-1,1,890,0,4,1,0,0,0,1,8,1,2,3,4,6,5,7,2,4,3,5,6,1,0,0,0,1,1,0,1,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,0
8,2,2,1,5,1,-1,90,0,4,1,0,0,0,1,8,1,2,3,4,6,5,7,2,4,3,5,6,1,0,0,0,1,1,0,1,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,0
8,2,3,0,0,0,0,0,1,4,1,0,0,0,1,8,1,2,3,4,6,5,7,2,4,3,5,6,1,0,0,0,1,1,0,1,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,0
8,3,1,1,5,1,-1,90,0,4,1,0,0,0,1,8,1,2,3,4,6,5,7,2,4,3,5,6,1,0,0,0,1,1,0,1,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,0
8,3,2,0,10,-1,1,270,0,4,1,0,0,0,1,8,1,2,3,4,6,5,7,2,4,3,5,6,1,0,0,0,1,1,0,1,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,0
8,3,3,0,0,0,0,0,1,4,1,0,0,0,1,8,1,2,3,4,6,5,7,2,4,3,5,6,1,0,0,0,1,1,0,1,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,0
8,4,1,0,5,-1,-1,530,0,4,1,0,0,0,1,8,1,2,3,4,6,5,7,2,4,3,5,6,1,0,0,0,1,1,0,1,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,0
8,4,2,1,10,1,1,890,0,4,1,0,0,0,1,8,1,2,3,4,6,5,7,2,4,3,5,6,1,0,0,0,1,1,0,1,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,0
8,4,3,0,0,0,0,0,1,4,1,0,0,0,1,8,1,2,3,4,6,5,7,2,4,3,5,6,1,0,0,0,1,1,0,1,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,0
9,1,1,0,10,1,1,270,0,4,1,0,0,0,0,1,7,4,8,6,2,5,2,6,2,5,1,3,4,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,1,1,1
9,1,2,1,5,-1,-1,530,0,4,1,0,0,0,0,1,7,4,8,6,2,5,2,6,2,5,1,3,4,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,1,1,1
9,1,3,0,0,0,0,0,1,4,1,0,0,0,0,1,7,4,8,6,2,5,2,6,2,5,1,3,4,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,1,1,1
9,2,1,1,10,-1,1,890,0,4,1,0,0,0,0,1,7,4,8,6,2,5,2,6,2,5,1,3,4,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,1,1,1
9,2,2,0,5,1,-1,90,0,4,1,0,0,0,0,1,7,4,8,6,2,5,2,6,2,5,1,3,4,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,1,1,1
9,2,3,0,0,0,0,0,1,4,1,0,0,0,0,1,7,4,8,6,2,5,2,6,2,5,1,3,4,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,1,1,1
9,3,1,0,5,1,-1,90,0,4,1,0,0,0,0,1,7,4,8,6,2,5,2,6,2,5,1,3,4,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,1,1,1
9,3,2,0,10,-1,1,270,0,4,1,0,0,0,0,1,7,4,8,6,2,5,2,6,2,5,1,3,4,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,1,1,1
9,3,3,1,0,0,0,0,1,4,1,0,0,0,0,1,7,4,8,6,2,5,2,6,2,5,1,3,4,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,1,1,1
